State,Electoral Votes,Population (in Millions)
Alabama,9,4.779736
Alaska,3,0.7102310000000001
Arizona,11,6.392017
Arkansas,6,2.915918
California,55,37.253956
Colorado,9,5.029196
Connecticut,7,3.574097
Delaware,3,0.897934
District of Columbia,3,0.601723
Florida,29,18.80131
Georgia,16,9.687653
Hawaii,4,1.360301
Idaho,4,1.567582
Illinois,20,12.830632000000001
Indiana,11,6.483802
Iowa,6,3.046355
Kansas,6,2.853118
Kentucky,8,4.339367
Louisiana,8,4.533372
Maine,4,1.3283610000000001
Maryland,10,5.773552
Massachusetts,11,6.547629
Michigan,16,9.88364
Minnesota,10,5.303925
Mississippi,6,2.9672970000000003
Missouri,10,5.9889269999999994
Montana,3,0.9894149999999999
Nebraska,5,1.826341
Nevada,6,2.700551
New Hampshire,4,1.31647
New Jersey,14,8.791894000000001
New Mexico,5,2.059179
New York,29,19.378102
North Carolina,15,9.535483000000001
North Dakota,3,0.6725909999999999
Ohio,18,11.536503999999999
Oklahoma,7,3.751351
Oregon,7,3.8310739999999996
Pennsylvania,20,12.702378999999999
Rhode Island,4,1.052567
South Carolina,9,4.625364
South Dakota,3,0.81418
Tennessee,11,6.3461050000000006
Texas,38,25.145560999999997
Utah,6,2.7638849999999997
Vermont,3,0.625741
Virginia,13,8.001024000000001
Washington,12,6.724539999999999
West Virginia,5,1.8529939999999998
Wisconsin,10,5.686986
Wyoming,3,0.5636260000000001
